kind,step,loss,lr,grad_norm
avg,5260,0.0431,1.99e-05,0.36
avg,5280,0.0354,1.99e-05,0.32
avg,5300,0.0289,1.99e-05,0.31
avg,5320,0.0387,1.99e-05,0.3
avg,5340,0.0356,1.99e-05,0.34
avg,5360,0.0352,1.99e-05,0.33
avg,5380,0.0264,1.99e-05,0.3
avg,5400,0.047,1.98e-05,0.36
avg,5420,0.0324,1.98e-05,0.33
avg,5440,0.0275,1.98e-05,0.33
avg,5460,0.0275,1.98e-05,0.34
avg,5480,0.0291,1.98e-05,0.32
avg,5500,0.0311,1.98e-05,0.39
avg,5520,0.033,1.98e-05,0.36
avg,5540,0.0266,1.98e-05,0.32
avg,5560,0.0178,1.98e-05,0.3
avg,5580,0.0344,1.98e-05,0.39
avg,5600,0.0428,1.98e-05,0.41
avg,5620,0.0304,1.98e-05,0.32
avg,5640,0.0418,1.98e-05,0.34
avg,5660,0.0382,1.98e-05,0.38
avg,5680,0.0323,1.98e-05,0.34
avg,5700,0.0376,1.98e-05,0.43
avg,5720,0.0361,1.98e-05,0.39
avg,5740,0.0384,1.98e-05,0.35
avg,5760,0.0369,1.98e-05,0.31
avg,5780,0.0372,1.98e-05,0.36
avg,5800,0.027,1.98e-05,0.36
avg,5820,0.0626,1.98e-05,0.4
avg,5840,0.0307,1.98e-05,0.34
avg,5860,0.0277,1.98e-05,0.32
avg,5880,0.0267,1.98e-05,0.32
avg,5900,0.0375,1.98e-05,0.35
avg,5920,0.0433,1.98e-05,0.34
avg,5940,0.039,1.98e-05,0.34
avg,5960,0.0288,1.98e-05,0.36
avg,5980,0.0351,1.98e-05,0.36
avg,6000,0.0433,1.98e-05,0.33
avg,6020,0.0431,1.98e-05,0.36
avg,6040,0.0401,1.98e-05,0.38
avg,6060,0.0323,1.98e-05,0.36
avg,6080,0.034,1.98e-05,0.38
avg,6100,0.0274,1.98e-05,0.36
avg,6120,0.0353,1.98e-05,0.39
avg,6140,0.0316,1.98e-05,0.37
avg,6160,0.0367,1.98e-05,0.39
avg,6180,0.0266,1.98e-05,0.41
avg,6200,0.0338,1.98e-05,0.36
avg,6220,0.0315,1.98e-05,0.39
avg,6240,0.0333,1.98e-05,0.38
avg,6260,0.0423,1.98e-05,0.4
avg,6280,0.0406,1.98e-05,0.32
avg,6300,0.0419,1.98e-05,0.36
avg,6320,0.0392,1.98e-05,0.32
avg,6340,0.0297,1.98e-05,0.33
avg,6360,0.0295,1.98e-05,0.35
avg,6380,0.0323,1.97e-05,0.35
avg,6400,0.0309,1.97e-05,0.37
avg,6420,0.0322,1.97e-05,0.39
avg,6440,0.0379,1.97e-05,0.35
avg,6460,0.037,1.97e-05,0.36
avg,6480,0.0244,1.97e-05,0.35
avg,6500,0.0326,1.97e-05,0.37
avg,6520,0.0376,1.97e-05,0.34
avg,6540,0.0341,1.97e-05,0.32
avg,6560,0.0313,1.97e-05,0.37
avg,6580,0.0344,1.97e-05,0.34
avg,6600,0.0358,1.97e-05,0.33
avg,6620,0.0291,1.97e-05,0.32
avg,6640,0.0388,1.97e-05,0.41
avg,6660,0.0273,1.97e-05,0.36
avg,6680,0.0367,1.97e-05,0.35
avg,6700,0.0255,1.97e-05,0.35
avg,6720,0.0383,1.97e-05,0.41
avg,6740,0.0251,1.97e-05,0.35
avg,6760,0.0278,1.97e-05,0.36
avg,6780,0.0332,1.97e-05,0.37
avg,6800,0.0329,1.97e-05,0.36
avg,6820,0.0286,1.97e-05,0.37
avg,6840,0.0331,1.97e-05,0.4
avg,6860,0.0302,1.97e-05,0.35
avg,6880,0.0323,1.97e-05,0.38
avg,6900,0.0315,1.97e-05,0.35
avg,6920,0.0422,1.97e-05,0.37
avg,6940,0.0443,1.97e-05,0.35
avg,6960,0.0296,1.97e-05,0.3
avg,6980,0.0318,1.97e-05,0.34
avg,7000,0.0222,1.97e-05,0.35
avg,7020,0.0353,1.97e-05,0.37
avg,7040,0.0404,1.97e-05,0.43
avg,7060,0.0276,1.97e-05,0.41
avg,7080,0.0351,1.97e-05,0.37
avg,7100,0.0343,1.97e-05,0.4
avg,7120,0.0346,1.97e-05,0.36
avg,7140,0.025,1.97e-05,0.36
